term,count,per_post
exception,975,1.4508928571428572
error,905,1.3467261904761905
code,669,0.9955357142857143
using,532,0.7916666666666666
get,387,0.5758928571428571
file,363,0.5401785714285714
like,342,0.5089285714285714
use,332,0.49404761904761907
work,312,0.4642857142857143
type,312,0.4642857142857143
following,302,0.4494047619047619
method,289,0.43005952380952384
throw,279,0.41517857142857145
app,264,0.39285714285714285
one,254,0.37797619047619047
tried,249,0.3705357142857143
problem,245,0.3645833333333333
function,245,0.3645833333333333
way,230,0.34226190476190477
would,228,0.3392857142857143
version,223,0.3318452380952381
project,221,0.3288690476190476
run,221,0.3288690476190476
application,215,0.31994047619047616
trying,206,0.30654761904761907
also,203,0.3020833333333333
call,197,0.2931547619047619
value,197,0.2931547619047619
python,196,0.2916666666666667
test,195,0.29017857142857145
